País;Año;Voluntarios;Kilogramos;Kilómetros;Elementos recogidos;b9;b3;b10;b11;b12;b13;b14;b15;b1;b2;b16;b17
Uganda;2022;734;8.379,0;12,9;11.811;360;938;1.278;7.423;85;579;838;;;;0;0
United Arab Emirates;2022;702;2.832,0;34,6;53.114;38.913;2.942;1.035;291;738;482;139;;;;509;230
United Kingdom;2022;6.264;6.035,0;109,6;155.790;10.363;2.119;7.930;12.635;2.305;2.647;1.108;;;;1.163;239
United States;2022;151.606;923.940,0;11.027,2;3.387.208;542.951;116.557;252.783;211.137;50.046;62.213;108.482;;;;43.329;26.082
Uruguay;2022;2.867;8.693,0;111,1;2.521;4;123;11;25;4;13;42;;;;5;3
Vanuatu;2022;130;850,0;2,1;6.439;29;487;343;928;64;234;78;;;;170;14
Venezuela;2022;6.983;22.122,0;117,9;393.677;16.613;45.219;25.748;24.778;15.389;11.902;12.021;;;;11.525;4.644
Vietnam;2022;1.082;10.925,0;144,1;56.130;1.130;2.524;1.095;1.389;10.743;2.434;958;;;;3.643;377
Wallis and Futuna;2022;77;268,0;0,2;866;14;136;77;8;55;56;;;;;51;6
Algeria;2021;2;27,0;0,1;—;—;—;—;—;—;;—;—;—;—;;
American Samoa;2021;82;158,0;1,7;4.728;547;522;493;259;216;;78;50;296;622;;197
Antigua and Barbuda;2021;74;259,0;3,0;1.457;9;152;34;74;48;;19;105;285;165;;140
Argentina;2021;4;1,0;0,1;103;—;1;93;3;4;;—;—;—;—;;
Aruba;2021;40;59,0;0,1;388;—;—;—;—;—;;—;—;—;—;;
Australia;2021;1.532;3.858,0;215,5;65.231;4.509;1.143;33;4.654;483;;1.564;107;835;859;;18
Azerbaijan;2021;33;1,0;0,1;2;—;2;—;—;—;;—;—;—;—;;
Bangladesh;2021;520;1.450,0;5,0;104.206;11.870;3.278;1.124;17.650;1.345;;3.860;—;169;132;;76
Belize;2021;111;536,0;9,0;6.109;135;468;441;421;1.008;;201;485;209;160;;156
Bermuda;2021;9;31,0;0,1;216;1;12;25;1;1;;—;11;—;—;;
Bonaire;2021;6;4,0;0,1;5.305;4.614;—;51;36;—;;96;—;18;4;;8
Brazil;2021;1.709;5.762,0;76,5;39.113;7.056;2.190;2.096;2.639;2.335;;912;938;1.540;526;;1.363
British Virgin Islands;2021;196;305,0;5,6;2.717;36;717;122;83;106;;52;291;322;159;;146
Bulgaria;2021;3;9,0;0,5;140;—;12;—;10;19;;2;15;8;8;;13
Cambodia;2021;6;4,0;0,1;185;6;17;5;16;26;;—;30;—;13;;
Cameroon;2021;216;71.200,0;2,7;15;4;—;—;—;—;;—;—;—;—;;
Canada;2021;13.822;13.434,0;1.586,6;328.284;88.513;9.559;22.816;28.984;13.001;;9.160;567;5.986;14.036;;6.728
Chile;2021;4.691;98.482,0;141,2;221.414;82.269;6.257;8.544;7.598;4.199;;2.002;23;5.441;7.877;;2.150
China;2021;10.319;25.130,0;233,1;31.588;6.243;2.752;2.142;372;2.134;;381;63;439;225;;18
Colombia;2021;141;316,0;5,0;11.767;45;1.950;2.247;408;345;;75;—;97;105;;1.987
Costa Rica;2021;16;42,0;1,5;208;2;54;31;14;3;;2;1;7;6;;7
Croatia;2021;22;17,0;1,1;3.448;3.016;4;83;13;3;;4;6;3;2;;
Cyprus;2021;79;45,0;5,4;1.492;375;161;78;128;52;;49;198;16;120;;37
Czechia;2021;2;1,0;0,1;11;—;2;—;2;—;;—;—;—;2;;
Denmark;2021;1;1,0;0,1;—;—;—;—;—;—;;—;—;—;—;;
Dominican Republic;2021;33;42,0;0,3;1.200;314;18;92;23;10;;31;51;7;7;;18
Ecuador;2021;6.052;36.949,0;747,1;309.550;8.171;18.097;10.620;27.713;14.340;;7.163;94;10.199;6.857;;16.203
Egypt;2021;11;13,0;0,1;489;88;14;1;192;35;;40;17;1;4;;3
